timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso
17.711,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:18.729803
17.72,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:18.737907
17.891,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:18.907118
17.91,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:18.926362
17.926,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:18.942344
17.933,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:18.950101
18.014,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:19.030432
18.019,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:19.040313
18.185,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:19.202541
18.202,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:19.219701
18.392,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:19.409731
18.398,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:19.415524
18.667,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:19.683152
19.042,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:20.058906
19.075,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:20.094524
19.083,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:20.104249
19.088,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:20.108592
19.856,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:20.872955
19.865,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:20.882211
20.188,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:21.204669
20.212,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:21.228246
20.665,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:21.681737
21.034,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:22.050267
21.054,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:22.070801
21.335,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:22.353947
21.953,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:22.972964
22.023,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:23.039647
22.051,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:23.070047
22.526,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:23.542234
22.54,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:23.557116
22.744,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:23.761095
22.745,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:23.762969
22.867,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:23.886930
22.877,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:23.894570
22.928,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:23.945045
22.95,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:23.966794
23.027,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:24.044964
23.038,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:24.056661
23.194,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:24.213076
23.2,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:24.216974
23.412,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:24.428634
23.421,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:24.439733
23.678,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:24.696328
24.059,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:25.075537
24.089,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:25.110006
24.098,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:25.117977
24.133,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:25.155054
24.931,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:25.947531
24.968,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:25.991228
25.228,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:26.245457
25.234,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:26.250793
25.685,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:26.701106
26.106,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:27.125979
26.133,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:27.150517
26.36,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:27.377207
26.975,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:27.992349
27.038,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:28.054172
27.05,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:28.069941
27.564,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:28.581497
27.566,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:28.582560
27.77,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:28.786607
27.789,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:28.805527
27.901,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:28.920470
27.913,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:28.930971
27.958,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:28.977063
27.979,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:28.996793
28.054,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:29.073939
28.067,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:29.086341
28.248,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:29.265072
28.257,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:29.273876
28.429,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:29.446956
28.437,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:29.454760
28.713,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:29.729656
29.09,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:30.107057
29.111,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:30.131558
29.131,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:30.151932
29.136,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:30.155802
29.909,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:30.925205
29.924,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:30.940741
30.248,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:31.264933
30.288,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:31.305307
30.71,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:31.726516
31.096,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:32.112125
31.096,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:32.112705
31.379,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:32.396019
31.986,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:33.002338
32.066,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:33.082876
32.078,10.0.105.12,224.0.0.1,0,0,OTHER,0,0,18b54e13,2026-04-11T17:01:33.094509
32.595,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:33.613546
32.598,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:33.614262
